epoch,shortterm,midterm,longterm
1619937774.241,3.210000,3.370000,3.390000
1619937789.241,3.160000,3.360000,3.390000
1619937804.241,3.280000,3.370000,3.390000
1619937819.241,3.510000,3.420000,3.410000
1619937834.241,3.400000,3.400000,3.400000
1619937849.241,3.310000,3.380000,3.390000
1619937864.241,3.390000,3.390000,3.400000
1619937879.241,3.300000,3.370000,3.390000
1619937894.241,3.230000,3.350000,3.380000
1619937909.241,3.180000,3.330000,3.370000
1619937924.241,3.140000,3.320000,3.370000
1619937939.241,3.110000,3.300000,3.360000
1619937954.241,3.080000,3.290000,3.350000
1619937969.241,3.060000,3.270000,3.350000
1619937984.241,3.430000,3.340000,3.370000
1619937999.241,3.330000,3.320000,3.360000
1619938014.241,3.260000,3.310000,3.360000
1619938029.241,3.280000,3.310000,3.360000
1619938044.241,3.240000,3.300000,3.350000
1619938059.241,3.180000,3.280000,3.350000
1619938074.241,3.220000,3.280000,3.350000
1619938089.241,3.170000,3.270000,3.340000
1619938104.241,3.400000,3.320000,3.360000
1619938119.241,3.530000,3.350000,3.370000
1619938134.241,3.550000,3.370000,3.370000
1619938149.241,3.430000,3.350000,3.360000
1619938164.241,3.400000,3.350000,3.360000
1619938179.241,3.380000,3.350000,3.360000
1619938194.241,3.370000,3.350000,3.360000
1619938209.241,3.360000,3.350000,3.360000
1619938224.241,3.280000,3.330000,3.360000
1619938239.241,3.300000,3.330000,3.360000
1619938254.241,3.230000,3.310000,3.350000
1619938269.241,3.250000,3.310000,3.350000
1619938284.241,3.190000,3.300000,3.340000
1619938299.241,3.370000,3.330000,3.350000
1619938314.241,3.290000,3.310000,3.350000
1619938329.241,3.300000,3.310000,3.350000
1619938344.241,3.310000,3.320000,3.350000
1619938359.241,3.310000,3.320000,3.350000
1619938374.241,3.320000,3.320000,3.350000
1619938389.241,3.250000,3.300000,3.340000
1619938404.241,3.270000,3.300000,3.340000
1619938419.241,3.360000,3.320000,3.350000
1619938434.241,3.280000,3.300000,3.340000
1619938449.241,3.220000,3.290000,3.340000
1619938464.241,3.240000,3.290000,3.340000
1619938479.241,3.190000,3.270000,3.330000
1619938494.241,3.230000,3.280000,3.330000
1619938509.241,3.180000,3.260000,3.320000
1619938524.241,3.290000,3.280000,3.330000
1619938539.241,3.230000,3.270000,3.320000
1619938554.241,3.170000,3.250000,3.320000
1619938569.241,3.140000,3.240000,3.310000
1619938584.241,3.100000,3.230000,3.310000
1619938599.241,3.150000,3.230000,3.310000
1619938614.241,3.270000,3.260000,3.310000
1619938629.241,3.290000,3.260000,3.310000
1619938644.241,3.300000,3.260000,3.310000
1619938659.241,3.380000,3.280000,3.320000
1619938674.241,3.370000,3.290000,3.320000
1619938689.241,3.290000,3.270000,3.310000
1619938704.241,3.380000,3.290000,3.320000
1619938719.241,3.360000,3.290000,3.320000
1619938734.241,3.280000,3.280000,3.310000
1619938749.241,3.290000,3.280000,3.310000
1619938764.241,3.230000,3.260000,3.310000
1619938779.241,3.180000,3.250000,3.300000
1619938794.241,3.220000,3.260000,3.300000
1619938809.241,3.170000,3.240000,3.290000
1619938824.241,3.130000,3.230000,3.290000
1619938839.241,3.170000,3.230000,3.290000
1619938854.241,3.220000,3.240000,3.290000
1619938869.241,3.240000,3.240000,3.290000
1619938884.241,3.270000,3.250000,3.290000
1619938899.241,3.210000,3.230000,3.280000
1619938914.241,3.160000,3.220000,3.280000
1619938929.241,3.350000,3.260000,3.290000
1619938944.241,3.270000,3.250000,3.280000
1619938959.241,3.210000,3.240000,3.280000
1619938974.241,3.160000,3.220000,3.270000
1619938989.241,3.130000,3.210000,3.270000
1619939004.241,3.180000,3.220000,3.270000
1619939019.241,3.140000,3.210000,3.260000
1619939034.241,3.110000,3.200000,3.260000
1619939049.241,3.310000,3.240000,3.270000
1619939064.241,3.240000,3.220000,3.270000
1619939079.241,3.180000,3.210000,3.260000
1619939094.241,3.220000,3.220000,3.270000
1619939109.241,3.330000,3.240000,3.270000
1619939124.241,3.260000,3.230000,3.270000
1619939139.241,3.200000,3.220000,3.260000
1619939154.241,3.230000,3.220000,3.260000
1619939169.241,3.180000,3.210000,3.260000
1619939184.241,3.140000,3.200000,3.260000
1619939199.241,3.110000,3.190000,3.250000
1619939214.241,3.080000,3.180000,3.250000
1619939229.241,3.060000,3.170000,3.240000
1619939244.241,3.270000,3.210000,3.260000
1619939259.241,3.210000,3.200000,3.250000
1619939274.241,3.310000,3.220000,3.260000
1619939289.241,3.440000,3.260000,3.270000
1619939304.241,3.340000,3.250000,3.270000
1619939319.241,3.430000,3.270000,3.270000
1619939334.241,3.330000,3.250000,3.270000
1619939349.241,3.260000,3.240000,3.260000
1619939364.241,3.200000,3.230000,3.260000
1619939379.241,3.380000,3.260000,3.270000
1619939394.241,3.290000,3.250000,3.270000
1619939409.241,3.360000,3.270000,3.270000
1619939424.241,3.280000,3.260000,3.270000
1619939439.241,3.500000,3.310000,3.290000
1619939454.241,3.470000,3.310000,3.290000
1619939469.241,3.510000,3.330000,3.290000
1619939484.241,3.850000,3.410000,3.320000
1619939499.241,3.810000,3.420000,3.320000
1619939514.241,3.780000,3.430000,3.330000
1619939529.241,3.830000,3.460000,3.340000
1619939544.241,3.790000,3.470000,3.350000
1619939559.241,3.910000,3.520000,3.360000
1619939574.241,3.790000,3.510000,3.360000
1619939589.241,3.680000,3.500000,3.360000
1619939604.241,3.680000,3.510000,3.370000
1619939619.241,3.680000,3.510000,3.370000
1619939634.241,3.680000,3.520000,3.380000
1619939649.241,3.600000,3.510000,3.370000
1619939664.241,3.470000,3.490000,3.370000
1619939679.241,3.440000,3.480000,3.370000
1619939694.241,3.340000,3.450000,3.360000
1619939709.241,3.410000,3.460000,3.370000
1619939724.241,3.320000,3.440000,3.360000
1619939739.241,3.250000,3.420000,3.350000
1619939754.241,3.270000,3.410000,3.350000
1619939769.241,3.430000,3.440000,3.360000
1619939784.241,3.330000,3.420000,3.360000
1619939799.241,3.260000,3.400000,3.350000
1619939814.241,3.200000,3.380000,3.350000
1619939829.241,3.220000,3.380000,3.350000
1619939844.241,3.170000,3.360000,3.340000
1619939859.241,3.200000,3.350000,3.340000
1619939874.241,3.160000,3.340000,3.330000
1619939889.241,3.330000,3.370000,3.350000
1619939904.241,3.410000,3.380000,3.350000
1619939919.241,3.390000,3.380000,3.350000
1619939934.241,3.460000,3.390000,3.360000
1619939949.241,3.360000,3.370000,3.350000
1619939964.241,3.280000,3.360000,3.340000
1619939979.241,3.220000,3.340000,3.340000
1619939994.241,3.170000,3.320000,3.330000
1619940009.241,3.130000,3.300000,3.330000
1619940024.241,3.180000,3.310000,3.330000
1619940039.241,3.140000,3.290000,3.320000
1619940054.241,3.110000,3.270000,3.310000
1619940069.241,3.160000,3.280000,3.310000
1619940084.241,3.130000,3.260000,3.310000
1619940099.241,3.170000,3.270000,3.310000
1619940114.241,3.210000,3.270000,3.310000
1619940129.241,3.160000,3.260000,3.300000
1619940144.241,3.190000,3.260000,3.300000
1619940159.241,3.150000,3.250000,3.300000
1619940174.241,3.120000,3.230000,3.290000
1619940189.241,3.090000,3.220000,3.290000
1619940204.241,3.140000,3.230000,3.290000
1619940219.241,3.110000,3.210000,3.280000
1619940234.241,3.360000,3.270000,3.300000
1619940249.241,3.280000,3.250000,3.290000
1619940264.241,3.300000,3.260000,3.290000
1619940279.241,3.230000,3.240000,3.280000
1619940294.241,3.260000,3.250000,3.280000
1619940309.241,3.200000,3.240000,3.280000
1619940324.241,3.310000,3.260000,3.280000
1619940339.241,3.320000,3.260000,3.280000
1619940354.241,3.250000,3.250000,3.280000
1619940369.241,3.190000,3.230000,3.270000
1619940384.241,3.150000,3.220000,3.270000
1619940399.241,3.110000,3.210000,3.260000
1619940414.241,3.090000,3.200000,3.260000
1619940429.241,3.070000,3.190000,3.250000
1619940444.241,3.130000,3.200000,3.260000
1619940459.241,3.170000,3.200000,3.260000
1619940474.241,3.580000,3.290000,3.290000
1619940489.241,3.450000,3.280000,3.280000
1619940504.241,3.350000,3.260000,3.270000
1619940519.241,3.420000,3.280000,3.280000
1619940534.241,3.330000,3.270000,3.270000
1619940549.241,3.250000,3.250000,3.270000
1619940564.241,3.410000,3.290000,3.280000
1619940579.241,3.390000,3.290000,3.280000
1619940594.241,3.300000,3.280000,3.270000
1619940609.241,3.230000,3.260000,3.270000
1619940624.241,3.260000,3.270000,3.270000
1619940639.241,3.280000,3.270000,3.270000
1619940654.241,3.210000,3.250000,3.270000
1619940669.241,3.170000,3.240000,3.260000
1619940684.241,3.200000,3.250000,3.260000
1619940699.241,3.160000,3.230000,3.260000
1619940714.241,3.120000,3.220000,3.260000
1619940729.241,3.090000,3.210000,3.250000
1619940744.241,3.140000,3.210000,3.250000
1619940759.241,3.110000,3.200000,3.250000
1619940774.241,3.080000,3.190000,3.240000
1619940789.241,3.060000,3.180000,3.240000
1619940804.241,3.210000,3.210000,3.250000
1619940819.241,3.240000,3.210000,3.250000
1619940834.241,3.190000,3.200000,3.240000
1619940849.241,3.150000,3.190000,3.240000
1619940864.241,3.400000,3.250000,3.260000
1619940879.241,3.390000,3.250000,3.260000
1619940894.241,3.450000,3.270000,3.270000
1619940909.241,3.430000,3.270000,3.270000
1619940924.241,3.340000,3.260000,3.260000
1619940939.241,3.340000,3.260000,3.260000
1619940954.241,3.260000,3.250000,3.260000
1619940969.241,3.280000,3.250000,3.260000
1619940984.241,3.220000,3.240000,3.260000
1619940999.241,3.170000,3.230000,3.250000
1619941014.241,3.350000,3.270000,3.270000
1619941029.241,3.420000,3.290000,3.270000
1619941044.241,3.490000,3.310000,3.280000
1619941059.241,3.530000,3.320000,3.280000
1619941074.241,3.410000,3.310000,3.280000
1619941089.241,3.320000,3.290000,3.270000
